region;peat_type;tree_type;year;basal_area
north;2;pine;2013;5.85285611390526
north;2;spruce;2013;5.95469628382031
north;2;deciduous;2013;6.64793156704935
north;4;pine;2013;9.74688695136009
north;4;spruce;2013;1.40738371695653
north;4;deciduous;2013;3.14627655117175
north;6;pine;2013;8.71196185526251
north;6;spruce;2013;0.294315945800027
north;6;deciduous;2013;0.928769454390748
north;7;pine;2013;5.00123034283435
north;7;spruce;2013;0.120281556785603
north;7;deciduous;2013;0.668075044262153
south;1;pine;2014;2.79175204310477
south;1;spruce;2014;9.14168863590562
south;1;deciduous;2014;8.14404505965202
south;2;pine;2014;6.48041792558914
south;2;spruce;2014;8.21836619534255
south;2;deciduous;2014;5.791093092261
south;4;pine;2014;12.719200456889
south;4;spruce;2014;1.84982934328841
south;4;deciduous;2014;3.30686828754982
